order_id,product,category,quantity,unit_price,total,region,sales_rep
-1.565248,-1.135137,-0.717595,-0.452899,1.768864,1.893858,-1.089213,-1.089213
-1.341641,-0.801273,-0.717595,0.155473,-0.721158,-0.51646,-0.229308,-0.229308
-1.118034,-0.467409,0.627896,-0.65569,0.191879,-0.225693,0.630597,0.630597
-0.894427,-0.133545,0.627896,-0.250108,-0.563743,-0.735503,1.490502,1.490502
-0.67082,-1.135137,-0.717595,-0.452899,1.768864,1.893858,-1.089213,-1.089213
-0.447214,0.200318,-0.717595,-0.047318,-0.578054,-0.268114,-0.229308,-0.229308
-0.223607,0.534182,-0.717595,-0.65569,0.480922,-0.07817,-1.089213,0.630597
0.0,0.868046,-0.717595,-0.351504,-0.749779,-0.735503,1.490502,1.490502
0.223607,1.201909,-0.717595,-0.452899,-0.549433,-0.472593,-1.089213,-1.089213
0.447214,-1.135137,-0.717595,-0.452899,1.768864,1.893858,-0.229308,-1.089213
0.67082,1.535773,1.973386,1.169426,-0.794113,-0.669768,0.630597,-0.229308
0.894427,1.869637,1.973386,3.197333,-0.801297,-0.677364,1.490502,0.630597
1.118034,-0.467409,0.627896,-0.65569,0.191879,-0.225693,-1.089213,1.490502
1.341641,-0.133545,0.627896,-0.250108,-0.692537,-0.560254,-0.229308,-1.089213
1.565248,-0.801273,-0.717595,0.155473,-0.721158,-0.51646,0.630597,-0.229308
